"","country","nkill","nwound","total","incidence"
"1","Afghanistan",26892,31521,58413,9587
"2","Albania",44,130,174,69
"3","Algeria",10324,8690,19014,2242
"4","Angola",1774,976,2750,146
"5","Argentina",4,18,22,65
"6","Armenia",14,24,38,15
"7","Australia",8,34,42,46
"8","Austria",7,18,25,32
"9","Azerbaijan",11,26,37,19
"10","Bahamas",1,0,1,3
"11","Bahrain",37,160,197,178
"12","Bangladesh",558,5444,6002,1209
"13","Belarus",14,212,226,12
"14","Belgium",9,24,33,24
"15","Belize",0,0,0,2
"16","Benin",0,4,4,4
"17","Bhutan",10,6,16,6
"18","Bolivia",4,16,20,16
"19","Bosnia-Herzegovina",22,124,146,128
"20","Botswana",0,1,1,1
"21","Brazil",74,76,150,105
"22","Bulgaria",25,34,59,36
"23","Burkina Faso",8,9,17,6
"24","Burundi",3671,1925,5596,479
"25","Cambodia",225,525,750,141
"26","Cameroon",1780,535,2315,164
"27","Canada",9,52,61,48
"28","Central African Republic",1205,560,1765,194
"29","Chad",829,1596,2425,69
"30","Chile",6,51,57,99
"31","China",956,1793,2749,219
"32","Colombia",6077,6253,12330,3214
"33","Comoros",0,2,2,3
"34","Costa Rica",4,5,9,3
"35","Croatia",6,18,24,23
"36","Cuba",2,3,5,16
"37","Cyprus",3,4,7,38
"38","Czech Republic",6,28,34,26
"39","Democratic Republic of the Congo",2999,1102,4101,459
"40","Denmark",2,8,10,14
"41","Djibouti",17,43,60,6
"42","Dominica",0,0,0,1
"43","Dominican Republic",6,76,82,17
"44","East Timor",9,8,17,10
"45","Ecuador",8,17,25,45
"46","Egypt",2009,3051,5060,1503
"47","El Salvador",30,84,114,18
"48","Equatorial Guinea",1,3,4,1
"49","Eritrea",47,63,110,10
"50","Estonia",3,10,13,8
"51","Ethiopia",534,546,1080,80
"52","Fiji",7,17,24,8
"53","Finland",9,5,14,12
"54","France",216,581,797,898
"55","French Guiana",0,13,13,4
"56","French Polynesia",0,13,13,3
"57","Gabon",4,1,5,2
"58","Gambia",0,2,2,2
"59","Georgia",137,280,417,152
"60","Germany",32,222,254,348
"61","Ghana",6,12,18,5
"62","Greece",11,85,96,585
"63","Guatemala",97,51,148,154
"64","Guinea",210,41,251,18
"65","Guinea-Bissau",18,29,47,9
"66","Guyana",33,20,53,11
"67","Haiti",62,116,178,110
"68","Honduras",70,65,135,67
"69","Hong Kong",0,69,69,9
"70","Hungary",6,11,17,38
"71","Iceland",0,0,0,2
"72","India",11771,20694,32465,7656
"73","Indonesia",1025,2307,3332,681
"74","International",1,12,13,1
"75","Iran",473,1225,1698,160
"76","Iraq",58914,115116,174030,18678
"77","Ireland",5,17,22,149
"78","Israel",1134,5385,6519,1156
"79","Italy",4,101,105,132
"80","Ivory Coast",241,142,383,55
"81","Jamaica",12,35,47,12
"82","Japan",15,6228,6243,75
"83","Jordan",78,154,232,34
"84","Kazakhstan",20,9,29,18
"85","Kenya",1507,5870,7377,465
"86","Kosovo",88,372,460,180
"87","Kuwait",37,249,286,12
"88","Kyrgyzstan",10,21,31,28
"89","Laos",17,58,75,15
"90","Latvia",1,36,37,12
"91","Lebanon",892,3130,4022,732
"92","Lesotho",1,3,4,3
"93","Liberia",30,14,44,15
"94","Libya",1816,2582,4398,1634
"95","Lithuania",1,1,2,6
"96","Macau",2,47,49,33
"97","Macedonia",52,63,115,116
"98","Madagascar",8,36,44,18
"99","Malawi",1,0,1,1
"100","Malaysia",9,11,20,39
"101","Maldives",1,19,20,17
"102","Mali",662,751,1413,290
"103","Malta",1,1,2,5
"104","Mauritania",39,30,69,14
"105","Mexico",541,585,1126,297
"106","Moldova",2,49,51,7
"107","Montenegro",1,0,1,5
"108","Morocco",71,167,238,16
"109","Mozambique",96,159,255,56
"110","Myanmar",384,786,1170,219
"111","Namibia",38,120,158,28
"112","Nepal",1960,2012,3972,902
"113","Netherlands",10,19,29,31
"114","New Zealand",0,2,2,13
"115","Nicaragua",38,75,113,55
"116","Niger",869,247,1116,84
"117","Nigeria",18523,8734,27257,2859
"118","Norway",78,77,155,8
"119","Pakistan",20369,34403,54772,12079
"120","Panama",7,4,11,17
"121","Papua New Guinea",30,18,48,24
"122","Paraguay",39,65,104,75
"123","Peru",380,355,735,216
"124","Philippines",4033,7399,11432,3818
"125","Poland",4,19,23,16
"126","Portugal",0,15,15,5
"127","Qatar",3,13,16,5
"128","Republic of the Congo",139,52,191,12
"129","Romania",0,6,6,2
"130","Russia",4140,7271,11411,2036
"131","Rwanda",1522,724,2246,102
"132","Saudi Arabia",415,1351,1766,178
"133","Senegal",232,232,464,82
"134","Serbia",3,8,11,11
"135","Serbia-Montenegro",3,5,8,11
"136","Sierra Leone",466,98,564,62
"137","Slovak Republic",7,10,17,16
"138","Slovenia",0,1,1,5
"139","Solomon Islands",4,0,4,4
"140","Somalia",7038,6787,13825,2774
"141","South Africa",267,402,669,190
"142","South Korea",0,95,95,9
"143","South Sudan",1437,908,2345,111
"144","Spain",295,2578,2873,669
"145","Sri Lanka",6027,10015,16042,1265
"146","St. Kitts and Nevis",0,9,9,2
"147","St. Lucia",2,12,14,1
"148","Sudan",3249,1867,5116,634
"149","Suriname",0,2,2,2
"150","Swaziland",1,2,3,9
"151","Sweden",6,14,20,62
"152","Switzerland",16,24,40,27
"153","Syria",9975,9766,19741,1326
"154","Taiwan",11,24,35,17
"155","Tajikistan",242,243,485,136
"156","Tanzania",60,229,289,46
"157","Thailand",2219,6488,8707,3171
"158","Togo",3,0,3,3
"159","Trinidad and Tobago",4,17,21,14
"160","Tunisia",235,266,501,81
"161","Turkey",1741,4640,6381,1431
"162","Turkmenistan",3,3,6,2
"163","Uganda",2186,996,3182,252
"164","Ukraine",2261,2844,5105,1570
"165","United Arab Emirates",2,1,3,7
"166","United Kingdom",200,1966,2166,1101
"167","United States",3324,1631,4955,555
"168","Uruguay",0,1,1,5
"169","Uzbekistan",67,197,264,19
"170","Vanuatu",0,0,0,2
"171","Venezuela",38,60,98,102
"172","Vietnam",1,6,7,8
"173","West Bank and Gaza Strip",901,1860,2761,1192
"174","Western Sahara",0,3,3,1
"175","Yemen",6648,7557,14205,2549
"176","Yugoslavia",112,216,328,163
"177","Zaire",279,129,408,24
"178","Zambia",1,9,10,21
"179","Zimbabwe",19,76,95,28
